,word,allMoviesCount,%used,actionCount,scifiCount,horrorCount,comedyCount,dramaCount,fantasyCount,thrillerCount,actionRelativeUsage,scifiRelativeUsage,horrorRelativeUsage,comedyRelativeUsage,dramaRelativeUsage,fantasyRelativeUsage,thrillerRelativeUsage
53,shot in the back,456,0.21042916474388557,317.0,121.0,54.0,54.0,129.0,53.0,280.0,2.0864196816208396,1.111106706146165,0.75,0.25743396226415094,0.6674539249146757,0.5022915243948707,1.7492307692307694
54,police,452,0.20858329487771113,196.0,86.0,48.0,116.0,155.0,42.0,246.0,1.28630303030303,0.8723221983495956,0.7562425683709869,0.6824941785252264,0.960408719346049,0.44879626302551207,1.73998133748056
55,fear,450,0.2076603599446239,163.0,123.0,119.0,65.0,164.0,83.0,200.0,0.9831883289124669,1.261765438591635,1.9758771929824563,0.3469718309859155,0.9905338645418327,0.9007315886421298,1.2686192468619246
56,showdown,444,0.20489155514536225,352.0,144.0,42.0,79.0,76.0,110.0,196.0,2.474336939721793,1.3717987275882013,0.5815047021943573,0.3905347826086957,0.37448320693391113,1.1198871880145418,1.1100971357409712
57,tough guy,441,0.20350715274573142,358.0,132.0,30.0,63.0,89.0,80.0,227.0,2.6218743961352655,1.2693592122163553,0.41886195995785036,0.3127991266375546,0.45480000000000004,0.8054037497380342,1.3728670212765957
58,shotgun,436,0.20119981541301338,261.0,114.0,82.0,90.0,103.0,49.0,246.0,1.7354210526315788,1.1173721585273932,1.2589803012746235,0.4787368421052632,0.5563467933491687,0.4949615036231884,1.6005836909871245
59,car accident,432,0.19935394554683894,209.0,110.0,63.0,118.0,117.0,52.0,218.0,1.4019646017699114,1.1530965816680103,1.0130461165048543,0.6978725617685305,0.6910597402597403,0.5636379415082878,1.4820089686098656
60,restaurant,432,0.19935394554683894,138.0,59.0,16.0,165.0,200.0,43.0,180.0,0.9466425339366517,0.6476526169248542,0.2700636942675159,1.1799056603773586,1.513477537437604,0.5134316087338916,1.3182608695652172
61,good versus evil,428,0.1975080756806645,280.0,161.0,66.0,85.0,59.0,151.0,135.0,1.9382648401826486,1.689888977002379,1.0040183696900116,0.45373239436619717,0.30561731207289294,1.738752443116864,0.7655610972568578
62,mother daughter relationship,425,0.1961236732810337,108.0,66.0,67.0,134.0,198.0,70.0,149.0,0.7181052631578947,0.7404595404595405,1.2244827586206897,0.9261884498480243,1.516,0.8774940784455417,1.0538911353032658
63,dancing,424,0.1956622058144901,96.0,57.0,28.0,189.0,186.0,79.0,96.0,0.6875716535433071,0.688825121466071,0.5277382645803698,1.5859261992619926,1.5521614678899083,1.09663688094603,0.6875716535433071
64,based on novel,422,0.19473927088140286,106.0,78.0,42.0,78.0,211.0,98.0,153.0,0.7304363636363637,0.923421926910299,0.768646408839779,0.5156162790697675,1.7290594594594595,1.3278009198993317,1.1351451876019576
65,hand to hand combat,420,0.19381633594831565,377.0,155.0,25.0,63.0,65.0,99.0,197.0,2.8387350993377485,1.528430407365032,0.34649581589958156,0.3121176470588235,0.3227292576419214,1.0158976634131913,1.1428010204081631
66,boyfriend girlfriend relationship,418,0.19289340101522842,107.0,71.0,87.0,158.0,150.0,48.0,121.0,0.766355905511811,0.8618463503709405,1.7599236641221374,1.2304520547945206,1.1523648648648648,0.6259867184563338,0.8861642512077293
67,drunkenness,410,0.18920166128287955,128.0,64.0,36.0,157.0,156.0,57.0,122.0,0.9833513513513512,0.7946395068346288,0.6973684210526315,1.2682699822380108,1.2579574468085106,0.7781165978096924,0.9278528428093644
68,f word,407,0.18781725888324874,128.0,57.0,66.0,148.0,175.0,22.0,166.0,0.9182082018927444,0.6585363572597615,1.2564655172413792,1.0962605863192183,1.35587734241908,0.2690755973364669,1.266724832214765
69,hostage,407,0.18781725888324874,299.0,127.0,43.0,80.0,83.0,67.0,227.0,2.168822966507177,1.2946457797521627,0.6452434881087203,0.43007092198581565,0.4477864768683274,0.7059354490391592,1.4769613733905578
70,female nudity,406,0.1873557914167051,90.0,55.0,73.0,139.0,172.0,34.0,151.0,0.6559615384615385,0.6797845553535994,1.5089703588143526,1.099429565217391,1.4432767527675276,0.452536231884058,1.2198010657193608
71,gunfight,399,0.18412551915089986,328.0,124.0,25.0,69.0,81.0,50.0,229.0,2.5808719723183393,1.2915432393693262,0.3759931895573212,0.37492473118279573,0.4465309090909091,0.5286638222944602,1.5383929098966027
72,one word title,395,0.18227964928472543,148.0,100.0,55.0,97.0,155.0,65.0,165.0,1.0566781789638933,1.1890591160664155,0.9982876712328766,0.6412151162790698,1.118952380952381,0.817079307568438,1.2103548387096774
73,new york city,394,0.18181818181818182,132.0,85.0,26.0,151.0,150.0,60.0,123.0,1.0089680672268908,1.078395125124097,0.4914407988587732,1.1922708333333334,1.1823223570190642,0.8141581383221433,0.9261655629139073
74,foot chase,391,0.180433779418551,254.0,106.0,57.0,81.0,70.0,49.0,225.0,1.9646122448979593,1.173064978499761,0.9621019108280255,0.48408409986859396,0.4123834196891192,0.5592503243964398,1.6585089141004863
75,voice over narration,389,0.17951084448546378,133.0,83.0,30.0,111.0,180.0,92.0,119.0,0.9835512195121953,1.0166008427662563,0.5536211699164345,0.7925086342229198,1.4412676056338027,1.2693089430894307,0.8604324324324325
76,party,387,0.17858790955237655,97.0,62.0,37.0,174.0,141.0,60.0,112.0,0.7528259385665529,0.813193891454761,0.7589009287925698,1.5547190569744596,1.183151291512915,0.8716588736129528,0.892077057793345
